time,link
2022-02-08,https://www.cnbc.com/2022/02/08/drug-overdoses-cost-the-us-around-1-trillion-a-year-report-says.html
2022-02-08,https://www.cnbc.com/2022/02/08/ski-resorts-middle-easts-growing-popularity-for-winter-sports.html
2022-02-08,https://www.cnbc.com/2022/02/08/bnp-paribas-q4-and-full-year-2021-earnings-profit-beats-expectations.html
2022-02-08,https://www.cnbc.com/2022/02/08/workers-say-hybrid-is-exhausting-them-heres-how-companies-fix-that.html
2022-02-08,https://www.cnbc.com/2022/02/08/stock-market-futures-open-to-close-news.html
2022-02-08,https://www.cnbc.com/2022/02/08/us-trade-deficit-rose-1point8percent-in-december.html
2022-02-08,https://www.cnbc.com/2022/02/08/bank-of-englands-bailey-faces-backlash-after-discouraging-pay-rises.html
2022-02-09,https://www.cnbc.com/2022/02/09/feds-bostic-says-more-than-3-hikes-possible-this-year-but-need-to-see-how-economy-responds-.html
2022-02-09,https://www.cnbc.com/2022/02/09/feds-mester-says-each-meeting-is-going-to-be-in-play-for-rate-hikes-this-year.html
2022-02-09,https://www.cnbc.com/2022/02/09/italy-bond-market-heats-up-amid-ecb-tightening-and-political-divide.html
2022-02-09,https://www.cnbc.com/2022/02/09/oil-will-hit-120-a-barrel-if-russia-invades-ukraine-david-roche.html
2022-02-09,https://www.cnbc.com/2022/02/09/why-there-arent-enough-policies-to-help-the-middle-class.html
2022-02-09,https://www.cnbc.com/2022/02/09/january-consumer-inflation-expected-to-rise-7point2percent-highest-since-1982.html
2022-02-09,https://www.cnbc.com/2022/02/09/these-sisters-launched-quickhire-app-to-help-service-workers-find-good-jobs.html
2022-02-09,https://www.cnbc.com/2022/02/09/congress-moves-towards-banning-members-from-trading-stocks.html
2022-02-10,https://www.cnbc.com/2022/02/10/eu-raises-inflation-forecasts-on-supply-disruptions-energy-crisis.html
2022-02-10,https://www.cnbc.com/2022/02/10/tired-of-inflation-the-federal-reserves-actions-wont-provide-any-relief-for-months.html
2022-02-10,https://www.cnbc.com/2022/02/10/biden-touts-wage-growth-slower-inflation-forecasts-after-another-surge-in-prices.html
2022-02-10,https://www.cnbc.com/2022/02/10/small-businesses-hope-for-more-covid-relief.html
2022-02-10,https://www.cnbc.com/2022/02/10/west-africas-political-system-could-see-complete-shakeup-as-coups-spike.html
2022-02-10,https://www.cnbc.com/2022/02/10/siemens-reports-big-surge-in-orders-as-profit-beats-forecast.html
2022-02-10,https://www.cnbc.com/2022/02/10/australia-new-zealand-bali-malaysia-philippines-reopen-for-travel.html
2022-02-10,https://www.cnbc.com/2022/02/10/iran-nuclear-talks-restart-as-critical-time-pressure-and-distrust-builds.html
2022-02-11,https://www.cnbc.com/2022/02/11/economist-shares-the-surprising-money-benefits-of-marriage.html
2022-02-11,https://www.cnbc.com/2022/02/11/uk-economy-grew-7point5percent-in-2021-mostly-recovering-from-its-pandemic-plunge.html
2022-02-11,https://www.cnbc.com/2022/02/11/economists-say-the-worst-of-chinas-regulatory-crackdown-is-over.html
2022-02-11,https://www.cnbc.com/2022/02/11/us-urges-canada-to-use-federal-powers-to-ease-border-protest-disruption.html
